model,dataset,seq_len,pred_len,seed,status,mse,mae,mape,rmse,param_count,forward_active_param_count,inactive_registered_param_count,train_seconds,inference_seconds,forward_ms_per_sample,test_peak_gpu_mem_mb,source_type,protocol,source_path,notes
FreqCycle,electricity,720,192,2026,ok,0.14684333855435916,0.24185368723943326,,0.383201433393,331360,214304,117056,7804.468821763992,8.283982753753662,,20675.0732421875,local_strict_official_reproduction,validation-selected checkpoint; deferred held-out test; sample-weighted metrics,outputs/freqcycle_official/freqcycle_0716v1_results.csv,Official-port reproduction; registered count includes an upstream duplicate inactive MLP; MAPE was not persisted.
Ours (Compact + Echo),electricity,720,336,2026,ok,0.1593535549440812,0.25427252704411135,2.327211092004358,0.39919112583333,45538,,,610.6219215393066,5.235435962677002,0.10001414722578629,415.57275390625,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r16_t64; input=pcke; input_k=1; basis=64; recent=48; output_k=0; channel=cycle_shared; phase_gate=1; gate_cap=0.5; lr=0.005
TQNet,electricity,720,336,2026,ok,0.16995851695537567,0.26740190386772156,,0.412260253912,3197240,,,951.5371,8.6307,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,electricity,720,336,2026,ok,0.15949472784996033,0.25424695014953613,,0.399367910391,296184,,,826.0607,8.6424,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,electricity,720,336,2026,ok,0.1719021499156952,0.2712532579898834,,0.414610841532,48230,,,922.482,9.0188,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,electricity,720,336,2026,ok,0.16615964472293854,0.2602103054523468,,0.407626844949,445,,,941.5456,8.4088,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,electricity,720,336,2026,ok,0.16752952756658823,0.2641076453141484,2.250508886281541,0.409303710668,23745744,,,4787.111626148224,29.843562364578247,3.4189422659311197,921.251953125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FilterNet,electricity,720,336,2026,ok,0.18075284361839294,0.2803776264190674,,0.425150377653,1073618,,,553.2652,16.1284,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,electricity,720,336,2026,ok,0.16701781749725342,0.2634674906730652,,0.408678134352,5276496,,,627.7835,10.3084,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,electricity,720,336,2026,ok,0.17117235886166063,0.26895248218978174,2.386073412514553,0.413729813842,4282195,,,3216.7909531593323,25.65548038482666,4.019883339893697,4905.71142578125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
DLinear,electricity,720,336,2026,ok,0.1623198390007019,0.26039621233940125,,0.402889363226,484512,,,738.1087,9.6013,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,electricity,720,336,2026,ok,0.1780269891023636,0.27206236124038696,,0.421932446136,111,,,1485.0734,8.2369,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,electricity,720,336,2026,ok,0.16677378918432337,0.25915032646171965,2.4579639926866625,0.4083794671433952,3756,,,541.0984275341034,3.6621527671813965,0.19457810107490928,179.4716796875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l2_d8_h1_r8; locked_0713v1_0716v1_reproduction_profile
FreqCycle,electricity,720,336,2026,ok,0.1628172531162216,0.2592874377356357,,0.403506199601,368512,232880,135632,7820.048203468323,9.131070375442505,,20718.66064453125,local_strict_official_reproduction,validation-selected checkpoint; deferred held-out test; sample-weighted metrics,outputs/freqcycle_official/freqcycle_0716v1_results.csv,Official-port reproduction; registered count includes an upstream duplicate inactive MLP; MAPE was not persisted.
Ours (Compact + Echo),electricity,720,720,2026,ok,0.19565213429015163,0.28668647732160546,2.5141827130061998,0.442325823675435,70114,,,660.074568271637,6.5796966552734375,0.11672616317632172,658.41259765625,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r16_t64; input=pcke; input_k=1; basis=64; recent=48; output_k=0; channel=cycle_shared; phase_gate=1; gate_cap=0.5; lr=0.005
TQNet,electricity,720,720,2026,ok,0.22622038424015045,0.3212098777294159,,0.475626307347,3394232,,,243.5633,12.6744,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,electricity,720,720,2026,ok,0.19765573740005493,0.28780966997146606,,0.444584904602,573048,,,879.8529,11.2352,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,electricity,720,720,2026,ok,0.210378497838974,0.3027832508087158,,0.458670358579,65884,,,1361.8607,13.6397,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,electricity,720,720,2026,ok,0.2052305042743683,0.2943643033504486,,0.45302373478,925,,,1525.082,11.8026,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,electricity,720,720,2026,ok,0.19934892654418945,0.2982920706272125,,0.446485079867,23844432,,,5592.7711,27.0206,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,electricity,720,720,2026,ok,0.20664073526859283,0.302337110042572,,0.454577534936,1270610,,,651.6808,20.8149,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,electricity,720,720,2026,ok,0.18633435666561127,0.279984712600708,,0.431664634486,5473488,,,895.6228,15.2271,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,electricity,720,720,2026,ok,0.19847363233566284,0.291259765625,,0.445503796096,8706256,,,11879.6657,32.1213,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,electricity,720,720,2026,ok,0.1963992714881897,0.29348278045654297,,0.443169574191,1038240,,,968.3016,14.1771,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,electricity,720,720,2026,ok,0.21711865067481995,0.3046438992023468,,0.465959923893,167,,,2312.361,11.2346,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,electricity,720,720,2026,ok,0.19833727028038967,0.2842105251104907,2.923275744066816,0.44535072727052966,275998,,,556.8152918815613,5.069611549377441,0.31970073085973943,878.75390625,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l1_d128_h4_r4; locked_0713v1_0716v1_reproduction_profile
FreqCycle,electricity,720,720,2026,ok,0.1985804229374034,0.2920381553182481,,0.445623633729,467584,282416,185168,7738.20201086998,9.635351419448853,,20839.9765625,local_strict_official_reproduction,validation-selected checkpoint; deferred held-out test; sample-weighted metrics,outputs/freqcycle_official/freqcycle_0716v1_results.csv,Official-port reproduction; registered count includes an upstream duplicate inactive MLP; MAPE was not persisted.
Ours (Compact + Echo),traffic,720,96,2026,ok,0.3785703282625333,0.2647691294382976,3.071517099443984,0.615280690630328,23514,,,748.9741759300232,7.075258493423462,0.14869669380884562,742.73828125,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r8_t32; input=pcke; input_k=1; basis=64; recent=192; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.25; lr=0.005
TQNet,traffic,720,96,2026,ok,0.4005686640739441,0.29737457633018494,,0.632904940788,3165008,,,269.5086,11.0113,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,traffic,720,96,2026,ok,0.38230055570602417,0.2670319080352783,,0.618304581663,214032,,,822.274,9.0682,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,traffic,720,96,2026,ok,0.39359763264656067,0.27951163053512573,,0.62737359894,37310,,,1111.7551,10.0936,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,traffic,720,96,2026,ok,0.3893495500087738,0.26749545335769653,,0.623978805737,145,,,752.0784,9.7043,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,traffic,720,96,2026,ok,0.4316761123883106,0.33563776035383736,3.7843704491133714,0.657020633153,23684064,,,1843.8976593017578,38.691593647003174,7.879530442586628,2254.31494140625,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FilterNet,traffic,720,96,2026,ok,0.3535124659538269,0.25975045561790466,,0.594569143123,476956,,,780.6995,10.1722,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,traffic,720,96,2026,ok,0.3475149869918823,0.2503238916397095,,0.589504017791,6731360,,,1063.8996,12.4348,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,traffic,720,96,2026,ok,0.3609218682395258,0.24901274929134723,2.614323987477308,0.600767732355,1517155,,,11554.696013212204,47.092451095581055,10.990787620298454,3291.24951171875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
DLinear,traffic,720,96,2026,ok,0.42375263571739197,0.32832929491996765,,0.650962852794,138432,,,226.7471,9.9208,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,traffic,720,96,2026,ok,0.40646788477897644,0.2813977599143982,,0.63754833917,67,,,3382.9919,9.3707,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,traffic,720,96,2026,ok,0.35876341035422427,0.2315320857737469,2.082880170501958,0.5989686221783443,37154,,,1168.9642660617828,9.128834009170532,0.6391635411007616,208.63427734375,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l2_d32_h8_r1; completion_0716v2_locked_profile
FreqCycle,traffic,720,96,2026,ok,0.4007659190399519,0.26944406975185897,2.8709466163495367,0.63306075462,397480,292808,104672,14010.180530548096,14.190381526947021,2.0309177904321305,3495.1845703125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),traffic,720,192,2026,ok,0.39512177533053466,0.27151139295973414,3.095946707300679,0.628587126284443,25882,,,842.7308058738708,7.1447227001190186,0.1473802873327933,843.90771484375,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r8_t32; input=pcke; input_k=1; basis=64; recent=192; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.25; lr=0.005
TQNet,traffic,720,192,2026,ok,0.4207238256931305,0.307436466217041,,0.648632273089,3214256,,,292.995,12.9132,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,traffic,720,192,2026,ok,0.3943370282649994,0.27327027916908264,,0.627962601008,283248,,,1072.1829,11.2397,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,traffic,720,192,2026,ok,0.4043581187725067,0.282828152179718,,0.63589159357,41678,,,1405.7303,12.0228,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,traffic,720,192,2026,ok,0.39941394329071045,0.27055492997169495,,0.631992043693,265,,,753.3304,11.1783,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,traffic,720,192,2026,ok,0.4843250639194845,0.3725319505329575,4.300273474707273,0.69593466929,23708736,,,1846.375182390213,38.52239203453064,7.9233876373624454,2255.98828125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FilterNet,traffic,720,192,2026,ok,0.37141746282577515,0.2685295641422272,,0.609440286514,501628,,,891.5219,11.9399,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,traffic,720,192,2026,ok,0.353252649307251,0.25689175724983215,,0.59435061143,6780608,,,1400.5403,13.7918,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,traffic,720,192,2026,ok,0.38219149686592496,0.25839301257390795,2.6632669986265176,0.618216383531,2623171,,,11486.798503160477,46.0538215637207,10.983917467410679,3299.1435546875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
DLinear,traffic,720,192,2026,ok,0.4300711750984192,0.3262074589729309,,0.655798120688,276864,,,256.7734,11.854,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,traffic,720,192,2026,ok,0.41904276609420776,0.28638288378715515,,0.647335126572,87,,,3531.905,10.8905,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,traffic,720,192,2026,ok,0.3783568291931283,0.23962362026147044,2.1538137848973045,0.6151071688682618,273160,,,1091.7487559318542,9.412981271743774,0.7151326465626512,567.81982421875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l1_d128_h4_r4; completion_0716v2_locked_profile
FreqCycle,traffic,720,192,2026,ok,0.42629155964786886,0.2754195329277771,2.82340038869589,0.652910070108,422248,305192,117056,13950.757462263107,14.416009902954102,2.0797523050233475,3502.02978515625,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),traffic,720,336,2026,ok,0.4080926935387765,0.2780751671446931,3.187999744938227,0.638821331468179,25882,,,943.1974160671234,7.8935160636901855,0.16561345297018734,1056.603515625,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r8_t32; input=pcke; input_k=1; basis=64; recent=192; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.25; lr=0.005
TQNet,traffic,720,336,2026,ok,0.40920355916023254,0.2872856557369232,,0.639690205615,3288128,,,1689.4431,15.4762,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,traffic,720,336,2026,ok,0.406368613243103,0.27889689803123474,,0.637470480292,387072,,,1581.259,13.1231,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,traffic,720,336,2026,ok,0.4170425236225128,0.28800371289253235,,0.645788296288,48230,,,1669.6205,15.1559,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,traffic,720,336,2026,ok,0.41098272800445557,0.2756803333759308,,0.641079346107,445,,,965.8261,13.8144,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,traffic,720,336,2026,ok,0.5409277510422811,0.4009363545614074,4.5604646234547435,0.735477906563,23745744,,,1854.2841637134552,38.40323781967163,7.86313660597805,2258.50146484375,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FilterNet,traffic,720,336,2026,ok,0.38520509004592896,0.2755923271179199,,0.620648926565,538636,,,1042.497,14.907,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,traffic,720,336,2026,ok,0.36223262548446655,0.26402005553245544,,0.601857645531,6854480,,,1616.7201,16.1247,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,traffic,720,336,2026,ok,0.4005949934543809,0.2681916257917805,2.7761776866895422,0.632925740869,4282195,,,11353.36369228363,45.15593123435974,11.02935297287275,3310.39306640625,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
DLinear,traffic,720,336,2026,ok,0.4471653997898102,0.3368777930736542,,0.668704269307,484512,,,298.9637,14.5247,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,traffic,720,336,2026,ok,0.42973780632019043,0.29175639152526855,,0.655543901139,111,,,3089.1839,13.6098,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,traffic,720,336,2026,ok,0.4010261837749131,0.2485245633113099,2.279526928556775,0.633266281886943,273934,,,1399.2577250003815,10.284100532531738,0.7328549589839372,576.66748046875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l1_d128_h4_r4; completion_0716v2_locked_profile
FreqCycle,traffic,720,336,2026,ok,0.4424196036318968,0.2965936464152503,3.22033763594314,0.665146302427,459400,323768,135632,7870.4123277664185,14.873208284378052,2.0709250649461377,3511.43017578125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),traffic,720,720,2026,ok,0.44001849906749935,0.296229215621741,3.268937330405414,0.663338902121306,25978,,,1195.2452447414398,9.126861333847046,0.1903631380034057,1708.43017578125,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r8_t32; input=pcke; input_k=1; basis=64; recent=192; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.25; lr=0.005
TQNet,traffic,720,720,2026,ok,0.45453715324401855,0.3107021450996399,,0.674193706025,3485120,,,2325.9536,19.6607,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,traffic,720,720,2026,ok,0.4417615234851837,0.30020666122436523,,0.664651430063,663936,,,2086.1244,17.9825,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,traffic,720,720,2026,ok,0.4544665515422821,0.3077138066291809,,0.67414134389,65884,,,2249.5747,20.7812,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,traffic,720,720,2026,ok,0.4472768306732178,0.29571694135665894,,0.668787582625,925,,,992.0991,18.7572,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,traffic,720,720,2026,ok,0.8505027774870199,0.3220286768851508,3.123025940658155,0.922227074796,23844432,,,8848.40169095993,34.78839612007141,7.948745790416193,2265.2001953125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FilterNet,traffic,720,720,2026,ok,0.4437009394168854,0.3068320155143738,,0.666108804488,637324,,,979.2282,18.8432,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,traffic,720,720,2026,ok,0.39537087082862854,0.28153422474861145,,0.628785234264,7051472,,,1930.8452,20.534,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,traffic,720,720,2026,ok,0.4336286044769836,0.28873348390488324,2.9080496471612087,0.658504824946,8706259,,,11260.099269628525,41.927063941955566,11.303533395894563,3339.58203125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
DLinear,traffic,720,720,2026,ok,0.49559834599494934,0.3625485897064209,,0.703987461532,1038240,,,430.7701,18.4877,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,traffic,720,720,2026,ok,0.46593809127807617,0.31107035279273987,,0.682596580183,167,,,2029.2312,18.33,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,traffic,720,720,2026,ok,0.4359831533150258,0.2723011468248753,2.3683829542995767,0.6602902038611703,275998,,,831.3917922973633,10.165746212005615,0.730829642117294,601.87451171875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l1_d128_h4_r4; completion_0716v2_locked_profile
FreqCycle,traffic,720,720,2026,ok,0.5026392207876906,0.3104272163107142,3.2974058388022884,0.708970535909,558472,373304,185168,10768.661890268326,14.794005870819092,2.093156879649565,3536.46630859375,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),PEMS03,96,12,2026,ok,0.06314358268744714,0.1685224404029678,1.3478474722750535,0.251283868737026,42722,,,97.40869402885437,2.151338815689087,0.06566672237215111,211.1357421875,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r32_t128; input=dense; input_k=1; basis=64; recent=0; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=1; lr=0.01
TQNet,PEMS03,96,12,2026,ok,0.05989682301878929,0.16076910495758057,,0.244738274528,721484,,,197.3469,2.3014,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,PEMS03,96,12,2026,ok,0.08074407279491425,0.19348108768463135,,0.284155015432,104268,,,110.5173,1.504,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,PEMS03,96,12,2026,ok,0.12001078575849533,0.23020026087760925,,0.346425729065,675,,,214.3765,3.1499,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,PEMS03,96,12,2026,ok,0.15972057631346895,0.2810597796548598,2.056414490592488,0.399650567763,21,,,63.04183340072632,2.233034133911133,0.09663696249459032,95.08935546875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FreTS,PEMS03,96,12,2026,ok,0.0805475115776062,0.18980887532234192,,0.283808934986,3215244,,,840.4968,4.4501,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
